Ticker,LatestPrice,ADV_$,ZeroRetFrac,NumObs,FirstDate,LastDate,Keep,Fail_Price,Fail_ADV,Fail_Stale
LSX.AX,0.9850000143051147,147329.91415554384,0.7533432392273403,2019,2018-01-02,2025-12-19,False,False,False,True
ILA.AX,0.4650000035762787,265513.1793896764,0.6394254581475978,2019,2018-01-02,2025-12-19,False,False,False,True
DAI.AX,0.6299999952316284,938194.635581251,0.9053987122337791,2019,2018-01-02,2025-12-19,False,False,False,True
DGT.AX,2.75,6484756.4171857,0.8761763249133234,2019,2018-01-02,2025-12-19,False,False,False,True
VGN.AX,3.450000047683716,7901660.795485512,0.9440316988608222,2019,2018-01-02,2025-12-19,False,False,False,True
GYG.AX,22.059999465942383,8195293.042730077,0.8122833085685983,2019,2018-01-02,2025-12-19,False,False,False,True
EDV.AX,3.640000104904175,11080645.327997688,0.4814264487369985,2019,2018-01-02,2025-12-19,False,False,False,True
MCP.AX,0.24500000476837158,79747.15801362296,0.1817731550272412,2019,2018-01-02,2025-12-19,True,False,False,False
KSL.AX,1.2400000095367432,224405.4152107199,0.1644378405151065,2019,2018-01-02,2025-12-19,True,False,False,False
AQZ.AX,1.2599999904632568,825007.8693044703,0.11589895988112928,2019,2018-01-02,2025-12-19,True,False,False,False
SPK.AX,1.9450000524520874,2455803.8219834985,0.09856364536899455,2019,2018-01-02,2025-12-19,True,False,False,False
MTS.AX,3.2799999713897705,13477030.001650631,0.10401188707280833,2019,2018-01-02,2025-12-19,True,False,False,False
AGL.AX,9.350000381469727,22597642.117898002,0.03070827142149579,2019,2018-01-02,2025-12-19,True,False,False,False
COL.AX,21.540000915527344,51175201.29170564,0.13719663199603765,2019,2018-01-02,2025-12-19,True,False,False,False
QAN.AX,10.25,56942654.30053571,0.05101535413571075,2019,2018-01-02,2025-12-19,True,False,False,False
QBE.AX,19.799999237060547,72114935.52321742,0.027241208519068846,2019,2018-01-02,2025-12-19,True,False,False,False
EVN.AX,12.619999885559082,85573452.30556919,0.05151064883605745,2019,2018-01-02,2025-12-19,True,False,False,False
BHP.AX,44.36000061035156,356077788.5322251,0.011391778107974244,2019,2018-01-02,2025-12-19,True,False,False,False
