Strategy,IsBenchmark,CAGR,AnnReturn,Vol,Sharpe,MaxDrawdown
MaxSharpe,False,0.16672390249983748,0.16657474168424125,0.1569767485527514,0.8063279616325236,-0.26318254534058716
TargetReturn_14.32%,False,0.13476181242555962,0.13656319060723904,0.14224262469526347,0.6788625478059988,-0.22265164556617256
EqualWeight,False,0.1017845047939756,0.10754917785892125,0.14543216379210377,0.4644720679222187,-0.31378189558124026
MinVol,False,0.0746373247905392,0.08079208671864986,0.1327199502606405,0.3073545961895013,-0.21590741399483127
Benchmark,True,0.04500176386656518,0.05612349443903561,0.15501748557253392,0.10401081129322857,-0.3653054101221642
