Date,Strategy,DailyReturn,IsBenchmark,EquityCurve,EquityCurve_$
2018-01-03,MaxSharpe,0.0005449502077203744,False,1.0005449502077204,4502452.275934742
2018-01-04,MaxSharpe,-0.004649010647608318,False,0.9958934060807939,4481520.327363573
2018-01-05,MaxSharpe,-0.005393737282395644,False,0.990521818687124,4457348.184092058
2018-01-08,MaxSharpe,0.02160841918048753,False,1.0119254293527342,4553664.432087304
2018-01-09,MaxSharpe,-0.0013031118559358355,False,1.0106067773284217,4547730.4979778975
2018-01-10,MaxSharpe,-0.006219900973881699,False,1.0043209032499052,4519444.064624573
2018-01-11,MaxSharpe,0.008698951946009021,False,1.0130574425256484,4558758.491365418
2018-01-12,MaxSharpe,0.006489503204871499,False,1.0196316820456375,4588342.569205369
2018-01-15,MaxSharpe,-0.0003807747019921947,False,1.0192434320957648,4586595.444430942
2018-01-16,MaxSharpe,0.00020256491115165426,False,1.0194498950510293,4587524.527729632
2018-01-17,MaxSharpe,-0.0067180255246937284,False,1.0126012046349302,4556705.4208571855
2018-01-18,MaxSharpe,0.012101954520672876,False,1.0248556583610007,4611850.462624503
2018-01-19,MaxSharpe,-0.0050656432215779815,False,1.0196641052421285,4588488.473589578
2018-01-22,MaxSharpe,0.0024443386342521984,False,1.022156509608532,4599704.293238395
2018-01-23,MaxSharpe,-0.01091062353055516,False,1.011004144742887,4549518.651342992
2018-01-24,MaxSharpe,0.0010251063534073646,False,1.0120405315149843,4554182.391817429
2018-01-25,MaxSharpe,0.0023420652595088384,False,1.0144107964850604,4564848.584182772
2018-01-29,MaxSharpe,-0.002249102497098578,False,1.0121292826296022,4554581.77183321
2018-01-30,MaxSharpe,-0.010719528285109808,False,1.0012797341562663,4505758.803703198
2018-01-31,MaxSharpe,0.007512716819534955,False,1.0088020652561216,4539609.2936525475
2018-02-01,MaxSharpe,-0.004028215867860344,False,1.0047383927693265,4521322.7674619695
2018-02-02,MaxSharpe,-0.003206439673361534,False,1.0015167597254016,4506825.418764307
2018-02-05,MaxSharpe,-0.010391449603650033,False,0.9911095487895042,4459992.969552768
2018-02-06,MaxSharpe,-0.010888156808565197,False,0.9803181926078177,4411431.86673518
2018-02-07,MaxSharpe,0.0231448413571844,False,1.0030075016552875,4513533.757448793
2018-02-08,MaxSharpe,-0.014369611973071876,False,0.9885946730504208,4448676.0287268935
2018-02-09,MaxSharpe,0.022458757187926198,False,1.0107972807697376,4548587.763463819
2018-02-12,MaxSharpe,0.00047738527526540334,False,1.0112798205078553,4550759.192285349
2018-02-13,MaxSharpe,0.002446455331988857,False,1.0137538714168695,4561892.421375913
2018-02-14,MaxSharpe,-0.0005860238335825825,False,1.0131597874868326,4559219.043690747
2018-02-15,MaxSharpe,0.006087276021563546,False,1.0193271707672136,4586972.268452461
2018-02-16,MaxSharpe,-0.0019670949706469135,False,1.0173220574161537,4577949.258372691
2018-02-19,MaxSharpe,0.0004525123938488809,False,1.0177824082556703,4580020.837150517
2018-02-20,MaxSharpe,-0.00873966448677702,False,1.008887331486972,4539992.991691374
2018-02-21,MaxSharpe,-0.002999831311035043,False,1.0058608396806707,4526373.778563018
2018-02-22,MaxSharpe,-0.008953998335809624,False,0.9968543633961139,4485844.635282513
2018-02-23,MaxSharpe,0.01167448563657079,False,1.0084921253433345,4538214.5640450055
2018-02-26,MaxSharpe,0.0050437214814638325,False,1.0135786787398158,4561104.054329171
2018-02-27,MaxSharpe,0.010028503254949247,False,1.023743355818705,4606845.101184173
2018-02-28,MaxSharpe,-0.020797898658644468,False,1.002451645251927,4511032.403633672
2018-03-01,MaxSharpe,-0.012298670381033092,False,0.9901228228940493,4455552.703023222
2018-03-02,MaxSharpe,0.01617483788746515,False,1.0061378990430399,4527620.54569368
2018-03-05,MaxSharpe,-0.0078120747584710885,False,0.9982778745583846,4492250.435512731
2018-03-06,MaxSharpe,0.002744776907253143,False,1.001017924615494,4504580.660769723
2018-03-07,MaxSharpe,-0.009861105250867096,False,0.9911467815028561,4460160.516762853
2018-03-08,MaxSharpe,0.0029288556208313856,False,0.9940497073249296,4473223.682962183
2018-03-09,MaxSharpe,0.01616262546490347,False,1.0101161604379194,4545522.721970637
2018-03-12,MaxSharpe,-0.0007193523907799164,False,1.009389530962943,4542252.8893332435
2018-03-13,MaxSharpe,-0.008077045784405277,False,1.001236645507056,4505564.904781752
2018-03-14,MaxSharpe,-0.0016680481903255699,False,0.9995665345324303,4498049.405395936
2018-03-15,MaxSharpe,0.0006812350708004309,False,1.0002474743113523,4501113.634401086
2018-03-16,MaxSharpe,-0.007894400736585188,False,0.9923511199133813,4465580.039610216
2018-03-19,MaxSharpe,0.00371361470053304,False,0.996036329620382,4482163.483291719
2018-03-20,MaxSharpe,-0.002469159641219409,False,0.9935769569140951,4471096.3061134275
2018-03-21,MaxSharpe,0.011853748263082248,False,1.005354568041354,4524095.556186093
2018-03-22,MaxSharpe,0.007529719219828928,False,1.0129246056550778,4558160.72544785
2018-03-23,MaxSharpe,-0.004154243666139428,False,1.0087166700277583,4539225.015124912
2018-03-26,MaxSharpe,-0.0027252999163184695,False,1.0059676145713428,4526854.265571042
2018-03-27,MaxSharpe,0.003404422257027371,False,1.009392353108238,4542265.588987071
2018-03-28,MaxSharpe,-0.007026246764176229,False,1.002300113353427,4510350.510090422
2018-03-29,MaxSharpe,-0.005242297702715744,False,0.9970457577717626,4486705.909972932
2018-04-03,MaxSharpe,0.000756300924185956,False,0.9977998243998212,4490099.209799196
2018-04-04,MaxSharpe,-0.0018225168495702828,False,0.9959813174073543,4481915.928333094
