PortfolioID,Volatility,ExpectedReturn,Sharpe
1455,0.1529460172298757,0.16194556829881268,0.7973111723172903
1456,0.20509472369938941,0.25318484178331896,1.0394457640742985
1457,0.15602436125260538,0.19861034124875043,1.016574206587895
1458,0.1278445398976752,0.16260198298089462,0.9589927194311416
1459,0.1476040674325433,0.1844345574139556,0.978526946623363
1460,0.13777075942465175,0.1735222160496376,0.9691622272189206
1461,0.15230166419208438,0.17039002285509633,0.8561299940271639
1462,0.16000763795921852,0.21936798033251376,1.1209963638000184
1463,0.1403879853715753,0.142622978961415,0.7309954529926128
1464,0.13848600273397815,0.11852046197464344,0.5669920455822218
1465,0.1415857380080385,0.1633125197953183,0.8709388497047439
1466,0.20783689864945895,0.32517116455420875,1.3720911272602418
1467,0.13566309706682453,0.13182572557923888,0.6768659094816892
1468,0.1572237896669324,0.20373380346778358,1.041406035401145
1469,0.18070410827724384,0.27777610799943653,1.3158312241281775
1470,0.16489106491070657,0.2294901840483377,1.1491840637390043
1471,0.1345927239749908,0.15313581234234624,0.8405789629710476
1472,0.1347399651347981,0.1311591245740702,0.6765559459873077
1473,0.18589025982510082,0.2624312655572564,1.196572998319202
1474,0.14318643260359873,0.19280446093659484,1.0671713664354145
1475,0.160233695172929,0.19038695357168356,0.9385476220178374
1476,0.12589189648421703,0.1418547169094599,0.8090649180285351
1477,0.16402769352404778,0.17783672761216346,0.8403259513732996
1478,0.14881382471387253,0.1591701358088036,0.8008001678468685
1479,0.1609921266592675,0.19635263735643238,0.9711818869710667
1480,0.15074980853126982,0.19808810768238252,1.048678663161224
1481,0.15299277277988227,0.18827349925140044,0.9691536178949337
1482,0.13895397651589314,0.1637259556060512,0.8904096068952714
1483,0.1855093817629501,0.25348351446956263,1.150796323295168
1484,0.16218643767056945,0.20897446961296867,1.0418532649208743
1485,0.1210588305321938,0.10386793426777022,0.527577657796599
1486,0.14051387169430768,0.199573357925086,1.13564131427709
1487,0.18773873008708422,0.2919625211361203,1.3420913256377378
1488,0.18205586862858789,0.24993403952237772,1.1531297568366998
1489,0.1908676783013411,0.2607644163031329,1.1566359389282819
1490,0.13810336889655508,0.12824281553515088,0.6389620777553099
1491,0.15008316079395784,0.17806131821389415,0.9198987913336398
1492,0.14321758947363442,0.17891926804403843,0.9699874753834808
1493,0.16698196013751948,0.22645801602052246,1.1166356884717563
1494,0.17129812010355167,0.2364398701502401,1.1467718970382743
1495,0.1305726904402342,0.08312897412042153,0.33030623765972367
1496,0.1376109498063926,0.14178649476080396,0.739668572188545
1497,0.16532987958242198,0.21368971265096248,1.0505645627375713
1498,0.18855871288041945,0.2765156036172921,1.2543339949890624
1499,0.19927835044020747,0.2730597132917754,1.1695184789363453
1500,0.17434054380176875,0.2506677991691221,1.208369519649191
1501,0.14901774576560783,0.17202632579020197,0.8859772043382543
1502,0.1565128990132017,0.2134067290927804,1.1079388995162227
1503,0.1317763463304338,0.12416852178762855,0.6387225335309649
1504,0.1414308655804603,0.17865670385754948,0.9803850332703181
1505,0.19438292414919733,0.2710371408832179,1.1885670610957928
1506,0.1740550598102068,0.21108974731987235,0.9829633651927849
1507,0.15969628226263002,0.17866934831164466,0.8683317253659961
1508,0.16148543547767227,0.17477108466009966,0.8345711442115393
1509,0.16892017606402504,0.21607913841512388,1.0423807417083524
1510,0.14223185107490052,0.1706693306797255,0.9187065322725351
1511,0.15319877180677863,0.1898907299430697,0.9784068643325602
1512,0.14865375327002198,0.14154000933985267,0.6830638790223507
1513,0.1336843443566683,0.14514940517830838,0.7865498812469093
1514,0.17286400190315337,0.22700368610535443,1.0817965802395502
1515,0.15733658869292136,0.2043506548032582,1.0445800062694024
1516,0.16646121341039088,0.21595924399739846,1.0570585206752716
1517,0.18930016125749552,0.26246882035558,1.1752172786211565
1518,0.17937150419262798,0.2470539819311868,1.1543304097446294
1519,0.14703486385316916,0.1505067010637933,0.751568017053062
1520,0.1934448168550132,0.290906664267048,1.2970451643328467
1521,0.14637107069427382,0.1731247845908781,0.9095020208531279
1522,0.14004471092121848,0.11450203757352881,0.531987513726524
1523,0.1741967075136774,0.23231680234310687,1.1040208801191418
1524,0.1660413973490723,0.22170156597483776,1.094314844826575
1525,0.14558172863258423,0.19080336673975185,1.0358674000934955
1526,0.14811463495002225,0.15648439615964604,0.7864475795990782
1527,0.1672108630358939,0.19235255379422828,0.9111402873479811
1528,0.15516968668476172,0.233606164341287,1.247706098257527
1529,0.155158867950978,0.16830069142316512,0.8268988625497148
1530,0.16104857361330718,0.19881278792406495,0.9861173207618059
1531,0.13046182763965986,0.1465187349037136,0.816474342195497
1532,0.13346868769574535,0.15173992853623586,0.8371995744122225
1533,0.17827819077670798,0.265143770341884,1.2628789273718557
1534,0.15860822067249777,0.20322782454211702,1.0291258791633382
1535,0.14672468293949725,0.19773739167753443,1.0750569605427487
1536,0.14849640963649818,0.15632030451136203,0.7833206526413703
1537,0.17011527950398495,0.2145855075314696,1.0262776397306506
1538,0.16375567701781868,0.19647132120505661,0.9555169265248163
1539,0.16442215861625492,0.2195378177076909,1.0919320073318977
1540,0.13361307242160536,0.1440845608760382,0.7789998313009948
1541,0.14833794798310554,0.15853577945272607,0.7990927545136751
1542,0.13673917328213903,0.1895730761220184,1.09385681170822
1543,0.14971097827617288,0.17802560842894924,0.9219471412065214
1544,0.14203057627012983,0.10979953313523616,0.49144018822034136
1545,0.15858034140150795,0.1531336997489034,0.7134156652019138
1546,0.15521097974741693,0.16882916924605715,0.8300261325307506
1547,0.15311864733728717,0.18476665136492718,0.9454540898995643
1548,0.17844541932128827,0.2638415858583277,1.2543980490488484
1549,0.1341420562485031,0.14553805227818578,0.7867633405191929
1550,0.1581436892352163,0.21730480519938705,1.1211626973977527
1551,0.16088086098958618,0.20107259102388247,1.0011917516671465
1552,0.16880539683846102,0.22424898104518504,1.0914875027455597
1553,0.13670993331236803,0.14767062922486995,0.7875845347598387
1554,0.13866564625675945,0.12910138539739938,0.6425627962128074
1555,0.14845075534738908,0.12858025630070394,0.5966979157055657
1556,0.15086825884046579,0.175449858341995,0.8978022241591929
1557,0.18662644547446094,0.27578916578231993,1.2634284770460718
1558,0.15188417802778365,0.16662655544486743,0.8337047155873212
1559,0.1398471639068515,0.17420505725999968,0.9596551943619687
1560,0.17287491803171698,0.24676933897168396,1.196063265428409
