Date,MCP.AX,KSL.AX,AQZ.AX,SPK.AX,MTS.AX,AGL.AX,COL.AX,QAN.AX,QBE.AX,EVN.AX,BHP.AX
2018-04-04,67027,677317,41273,742867,2278970,2280929,8752527.0,4816941,5586645,7818544,7665141
2018-04-05,5757,112678,54665,737462,1849741,1994466,8752527.0,4624599,4399571,9511032,8258642
2018-04-06,140056,126717,42759,1891230,1580062,1487969,8752527.0,6849397,6184104,3695001,6035924
2018-04-09,12631,6259,141209,1419122,2322246,1374513,8752527.0,3848778,3127631,5212443,5264747
2018-04-10,72157,31797,26157,326122,2363739,1466846,8752527.0,4344831,3884202,5758835,8734423
2018-04-11,20530,18258,14950,796912,1939653,2514251,8752527.0,7958990,3540720,10025538,9475582
2018-04-12,20530,48890,36178,892055,2213321,1605354,8752527.0,8808166,4825280,7285221,6404881
2018-04-13,58521,64547,36861,1076544,1701139,2087915,8752527.0,4225232,3792649,3123095,4684805
2018-04-16,25235,30772,164195,794397,1865461,1556265,8752527.0,3917175,2759120,4895036,7541620
2018-04-17,66195,28251,2794,607159,1752426,1548301,8752527.0,4344175,4058302,5707519,5974170
2018-04-18,21873,28326,6121,938811,2195750,1326608,8752527.0,3358733,4202074,4609573,5093294
2018-04-19,136810,29433,134805,1143701,2915846,1771555,8752527.0,5418963,5133390,10778353,10632958
2018-04-20,14698,29433,23864,1285915,2443287,1962204,8752527.0,4839290,2848686,29072081,5274984
2018-04-23,50183,0,84253,937123,4666833,2152116,8752527.0,4798735,2981757,10248854,6107897
2018-04-24,73040,15636,89750,9279171,6434343,1724213,8752527.0,7766106,4783522,9332048,7278243
2018-04-26,63331,59920,3537,9881929,5736521,1651643,8752527.0,11264859,6056289,10056138,8219403
2018-04-27,72034,98213,32796,933077,5626003,2484945,8752527.0,15883332,4759727,4977077,11676940
2018-04-30,109852,55595,14830,1951568,3526184,1819694,8752527.0,6921787,4696918,8341315,6349257
2018-05-01,37160,23060,88957,448220,6266607,2195256,8752527.0,7314890,4977062,5844602,7192685
2018-05-02,13084,23060,48553,1123139,4691727,2006821,8752527.0,18020493,7822122,6607155,6062793
2018-05-03,106111,0,52929,1123026,5188144,1596404,8752527.0,15419684,6005405,8786239,6839076
2018-05-04,56785,0,34082,460609,4197140,1114837,8752527.0,20778182,3294123,4048043,6570241
2018-05-07,246049,3201,38859,672052,5497340,1042302,8752527.0,6416615,3385753,3478584,6446237
