Strategy,ExpectedReturn,Volatility,Sharpe
MaxSharpe,0.17169422242881172,0.15837446150137355,0.8315369863320391
TargetReturn_14.32%,0.1415762026004691,0.14319581665177522,0.7093517462698157
EqualWeight,0.11588429151584444,0.14783892668296164,0.5132903303510662
MinVol,0.08619992107233902,0.13324214346389002,0.34673654949764204
