Strategy,ExpectedReturn,Volatility,Sharpe
MaxSharpe,0.17169420806177782,0.15837442436918506,0.8315370905771171
EqualWeight,0.11588428136945267,0.14783890035447672,0.513290353131031
MinVol,0.08619991457856374,0.13324213727213483,0.3467365168738224
