Ticker,Company,LatestPrice,Strategy,IsBenchmark,Weight,DollarAlloc,Shares
ACU.AX,Acumentis Group Limited,0.07699999958276749,MaxSharpe,False,0.021568869610331814,97059.91324649316,1260518.3606808104
AGL.AX,AGL Energy Limited,9.390000343322754,MaxSharpe,False,0.013677520494892965,61548.842227018344,6554.722042239949
AHE.AX,Adheris Health Limited,0.024000000208616257,MaxSharpe,False,0.019839040002330516,89275.68001048733,3719819.968103017
AIQ.AX,Alternative Investment Trust,1.4700000286102295,MaxSharpe,False,0.03815095854687492,171679.31346093715,116788.64633985522
AMS.AX,Atomos Limited,0.029999999329447746,MaxSharpe,False,0.044235793902793905,199061.07256257258,6635369.233731146
ANZ.AX,ANZ Group Holdings Limited,35.810001373291016,MaxSharpe,False,0.014771444572320486,66471.50057544219,1856.2272556912028
APW.AX,Aims Property Securities Fund,3.1700000762939453,MaxSharpe,False,0.022035290710375355,99158.80819668909,31280.380381761974
AQZ.AX,Alliance Aviation Services Limited,1.2100000381469727,MaxSharpe,False,0.006161319349594265,27725.937073174195,22913.996858739323
AVD.AX,AVADA Group Limited,0.15000000596046448,MaxSharpe,False,0.027668747646114353,124509.36440751459,830062.3963997144
BFL.AX,BSP Financial Group Limited,8.100000381469727,MaxSharpe,False,0.03821559446141228,171970.17507635526,21230.884812026598
BHP.AX,BHP Group Limited,45.59000015258789,MaxSharpe,False,0.042843862192632004,192797.379866844,4228.940101372208
BNL.AX,Blue Star Helium Limited,0.006500000134110451,MaxSharpe,False,0.019615214397494578,88268.4647887256,13579763.53346729
BPH.AX,BPH Energy Limited,0.008999999612569809,MaxSharpe,False,0.040749285296053074,183371.78383223884,20374643.525110096
CAN.AX,Cann Group Limited,0.00800000037997961,MaxSharpe,False,0.0014317415478306958,6442.836965238131,805354.5824024762
CCG.AX,Comms Group Limited,0.0729999989271164,MaxSharpe,False,0.03515516176915181,158198.22796118315,2167099.0450168243
CLG.AX,Close the Loop Ltd,0.035999998450279236,MaxSharpe,False,0.021882453886963794,98471.04249133707,2735306.853619414
CLZ.AX,Classic Minerals Limited,0.0010000000474974513,MaxSharpe,False,0.044175106682691034,198787.98007210967,198787970.63018772
COL.AX,Coles Group Limited,21.790000915527344,MaxSharpe,False,0.012363960464886102,55637.82209198746,2553.3648349844943
DAI.AX,Decidr AI Industries Ltd,0.5400000214576721,MaxSharpe,False,0.0036163175371994637,16273.428917397587,30135.97827916601
DGT.AX,DIGICO INF STAPLED [DGT],2.390000104904175,MaxSharpe,False,0.02789859006513368,125543.65529310156,52528.72375841805
DTI.AX,DTI Group Limited,0.010999999940395355,MaxSharpe,False,0.018793797606860254,84572.08923087115,7688371.789921256
EDV.AX,Endeavour Group Limited,3.740000009536743,MaxSharpe,False,0.02404566876894935,108205.50946027208,28931.95432736777
ENN.AX,Elanor Investors Group,0.8199999928474426,MaxSharpe,False,0.0058684145903638435,26407.865656637296,32204.714496321176
EVN.AX,Evolution Mining Limited,12.760000228881836,MaxSharpe,False,0.03448189395499429,155168.52279747432,12160.542320857921
EWC.AX,Energy World Corporation Ltd,0.04600000008940697,MaxSharpe,False,0.01096269202757727,49332.114124097716,1072437.2614829207
FCG.AX,Freedom Care Group Holdings Limited,0.03700000047683716,MaxSharpe,False,0.01047510099503904,47137.95447767568,1273998.7532482632
GTN.AX,GTN Limited,0.28999999165534973,MaxSharpe,False,0.01265287384804098,56937.93231618441,196337.7032915651
GYG.AX,Guzman y Gomez (Holdings) Ltd,21.049999237060547,MaxSharpe,False,0.007805483996494321,35124.67798422444,1668.6308435766625
ILA.AX,Island Pharmaceuticals Limited,0.45500001311302185,MaxSharpe,False,0.017258234464528444,77662.055090378,170685.8304443318
INV.AX,InvestSMART Group Limited,0.11500000208616257,MaxSharpe,False,0.004702839182946517,21162.776323259324,184024.13860308743
KNM.AX,KNeoMedia Limited,0.0020000000949949026,MaxSharpe,False,0.0063822336434643506,28720.051395589577,14360025.0157302
KSL.AX,Kina Securities Limited,1.2400000095367432,MaxSharpe,False,0.022921616759702657,103147.27541866196,83183.28598819704
LSX.AX,Lion Selection Group Limited,0.925000011920929,MaxSharpe,False,0.01772123770633915,79745.56967852618,86211.42556843882
MCP.AX,McPherson's Limited,0.23499999940395355,MaxSharpe,False,0.006172753956699492,27777.392805147712,118201.67181106978
MFD.AX,Mayfield Childcare Limited,0.48500001430511475,MaxSharpe,False,0.009925757440530775,44665.90848238849,92094.65394837917
MSI.AX,Multistack International Limited,0.004999999888241291,MaxSharpe,False,0.027327506906324756,122973.7810784614,24594756.765427932
MTS.AX,Metcash Limited,3.259999990463257,MaxSharpe,False,0.026529245486755122,119381.60469039805,36620.12424528674
NOU.AX,Noumi Limited,0.12999999523162842,MaxSharpe,False,0.006968745953940674,31359.356792733033,241225.83033067253
NTD.AX,NTAW Holdings Limited,0.2549999952316284,MaxSharpe,False,0.005031248271207766,22640.617220434946,88786.73585805135
PTL.AX,Prestal Holdings Limited,0.04699999839067459,MaxSharpe,False,0.016675183255325188,75038.32464896335,1596560.1535818758
QAN.AX,Qantas Airways Limited,9.84000015258789,MaxSharpe,False,0.011268736348025069,50709.31356611281,5153.3854450984345
QBE.AX,QBE Insurance Group Limited,19.3700008392334,MaxSharpe,False,0.010907124811192432,49082.06165036594,2533.921503552627
RPM.AX,RPM Automotive Group Limited,0.050999999046325684,MaxSharpe,False,0.03173457889522526,142805.60502851367,2800109.954880522
SFX.AX,Sheffield Resources Limited,0.07400000095367432,MaxSharpe,False,0.013875420505058687,62439.39227276409,843775.560379419
