Strategy,IsBenchmark,CAGR,AnnReturn,Vol,Sharpe,MaxDrawdown
MaxSharpe,False,0.16672389777662389,0.16657473231517964,0.15697671458316562,0.8063280764365905,-0.2631824379010813
EqualWeight,False,0.10178450112404969,0.10754917092537225,0.14543213921315842,0.4644720987454231,-0.3137818904175247
MinVol,False,0.0746373243669467,0.0807920858850618,0.1327199465473478,0.30735459850798863,-0.21590742707369992
Benchmark,True,0.04500176386656518,0.05612349443903561,0.15501748557253392,0.10401081129322857,-0.3653054101221642
